City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Ozinki,RU,70.2,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
396,Enugu,NG,74.59,few clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
399,Jinchang,CN,77.81,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
400,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
401,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
402,Muscat,OM,89.62,overcast clouds,23.6139,58.5922,Mutrah Hotel
403,Grand-Lahou,CI,74.88,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
405,Sagone,FR,72.07,few clouds,42.1155,8.6969,Camping Sagone
407,Cabras,IT,72.05,clear sky,39.93,8.5314,Hotel Villa Canu
415,Buritis,BR,72.19,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
416,Winslow,US,87.98,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
418,Umm Lajj,SA,89.22,overcast clouds,25.0213,37.2685,Moon light Furnished Units
419,Shiraz,IR,74.64,few clouds,29.6036,52.5388,Shams Hotel
421,Tamiahua,MX,86.05,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
422,Pedasi,PA,79.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
423,Mana,GF,79.47,scattered clouds,5.6592,-53.7767,LE SAMANA
427,Kavaratti,IN,80.91,scattered clouds,10.5669,72.642,Green leaf
428,Anori,BR,84.74,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
430,Amahai,ID,77.85,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
431,Grand Forks,US,78.53,broken clouds,47.9417,-97.4337,Warrior Inn
434,Sham Churasi,IN,79.63,overcast clouds,31.4997,75.7494,Victoria Resorts
436,Digras,IN,74.82,scattered clouds,20.1167,77.7167,Swad Restaurant
441,Batticaloa,LK,79.12,overcast clouds,7.7102,81.6924,Grand Star Guest House
445,Korla,CN,83.79,broken clouds,41.7597,86.1469,Gulisitan Hotel
448,Meadow Lake,US,83.66,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
450,Poplar Bluff,US,86.18,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
452,Prainha,BR,81.99,scattered clouds,-1.8,-53.48,Casa Rocha
454,Ormara,PK,84.83,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
460,Labuhan,ID,76.84,broken clouds,-6.8844,112.2051,DoubleFAG
462,Santa Cruz,BO,73.45,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
464,Axim,GH,74.86,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
465,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
466,Powell,US,77.36,scattered clouds,40.1578,-83.0752,The Brig
467,Chake Chake,TZ,72.64,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
468,Mayo,US,88.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
469,Matadi,CD,71.56,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
470,Nizhniy Baskunchak,RU,82.71,broken clouds,48.2198,46.8311,Arman hotel
471,San Pedro,PH,78.35,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
472,Harper,LR,76.42,overcast clouds,4.375,-7.7169,Screensaver
473,Chitral,PK,74.68,broken clouds,35.8462,71.7858,PTDC Motel Chitral
477,Abu Kamal,SY,86.7,clear sky,34.4506,40.9171,البوكمال
478,North Bend,US,75.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
479,Teguise,ES,70.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
481,Great Falls,US,94.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
482,Huejuquilla El Alto,MX,77.49,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
