City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Souillac,MU,-20.5167,57.5167,66.58,94,75,18.41,light intensity shower rain
202,Namatanai,PG,-3.6667,152.4333,82.04,75,100,8.01,light rain
203,Lagoa,PT,39.05,-27.9833,73.13,84,91,13.47,light rain
204,Saint-Augustin,CA,51.226,-58.6502,62.62,90,100,13.09,overcast clouds
205,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,83,40,9.22,scattered clouds
206,Trairi,BR,-3.2778,-39.2689,76.98,84,84,11.25,broken clouds
207,Khatanga,RU,71.9667,102.5,44.78,72,100,7.49,overcast clouds
208,Milton,US,34.1322,-84.3007,87.06,74,77,1.01,broken clouds
209,Port Hawkesbury,CA,45.6169,-61.3485,69.96,84,100,8.99,overcast clouds
210,Abbeville,FR,50.1,1.8333,75.16,46,3,8.66,clear sky
211,Andenes,NO,69.3143,16.1194,49.98,81,100,21.85,overcast clouds
212,Bereznik,RU,62.8551,42.7072,61.99,74,98,9.73,overcast clouds
213,Matay,EG,28.419,30.7792,84.31,28,0,7.61,clear sky
214,Oudtshoorn,ZA,-33.5907,22.2014,50.36,84,96,4.23,overcast clouds
215,Nador,MA,35.174,-2.9287,80.85,78,0,3.44,clear sky
216,Garni,AM,40.1221,44.7312,74.07,67,0,6.73,clear sky
217,Kaniama,CD,-7.5667,24.1833,70.39,23,62,4.36,broken clouds
218,Gondar,ET,12.6,37.4667,56.34,93,98,3.02,overcast clouds
219,Hilo,US,19.7297,-155.09,92.28,76,75,8.05,broken clouds
220,Sorso,IT,40.8,8.5772,73.89,66,7,3.11,clear sky
221,Vao,NC,-22.6667,167.4833,68.16,59,11,20.11,few clouds
222,La Ronge,CA,55.1001,-105.2842,86.22,42,40,10.36,scattered clouds
223,Taldan,RU,53.6667,124.8,57.16,85,99,2.59,overcast clouds
224,Rundu,NA,-17.9333,19.7667,57.52,14,3,4.85,clear sky
225,Dapaong,TG,10.8639,0.205,78.08,77,100,4.29,light rain
226,Tabou,CI,4.423,-7.3528,76.26,77,99,9.46,overcast clouds
227,Lasa,IT,46.6166,10.7002,68.88,89,90,1.79,overcast clouds
228,Honiara,SB,-9.4333,159.95,79.97,83,100,2.37,overcast clouds
229,Inhambane,MZ,-23.865,35.3833,68.11,79,0,8.41,clear sky
230,Yerbogachen,RU,61.2767,108.0108,54.12,94,94,5.66,overcast clouds
231,Molteno,ZA,-31.3968,26.3625,51.94,32,66,11.77,broken clouds
232,Norman Wells,CA,65.282,-126.8329,71.64,33,20,3.44,few clouds
233,Stromness,GB,58.965,-3.296,53.87,91,100,5.01,overcast clouds
234,Ipora,BR,-16.4419,-51.1178,65.05,26,21,5.86,few clouds
235,Sulangan,PH,11.1373,123.7228,82.98,72,100,5.88,overcast clouds
236,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,88,53,7.43,broken clouds
237,Helena,US,46.5927,-112.0361,95.81,27,0,9.22,clear sky
238,Saint Anthony,US,45.0205,-93.218,84.85,42,20,10.36,few clouds
239,Cururupu,BR,-1.8283,-44.8683,75.09,87,49,4.5,scattered clouds
240,Santa Margherita Ligure,IT,44.3346,9.212,80.44,69,39,1.01,scattered clouds
241,Lorengau,PG,-2.0226,147.2712,81.45,80,79,5.86,broken clouds
242,Grindavik,IS,63.8424,-22.4338,49.95,100,100,17.27,light intensity drizzle
243,Hofn,IS,64.2539,-15.2082,51.55,86,56,14.16,broken clouds
244,Lufilufi,WS,-13.8745,-171.5986,78.58,80,18,16.73,light rain
245,Saint-Denis,FR,48.9167,2.3333,79.09,40,0,6.91,clear sky
246,Lusaka,ZM,-15.4067,28.2871,59.54,47,0,5.88,clear sky
247,Palmer,US,42.1584,-72.3287,83.8,51,75,8.05,broken clouds
248,Valparaiso,CL,-33.0393,-71.6273,55.63,90,100,6.91,overcast clouds
249,Avera,US,33.194,-82.5271,81.91,54,99,7.52,overcast clouds
250,Wangqing,CN,43.3218,129.7634,65.98,83,19,1.36,few clouds
251,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,64.53,42,0,4.5,clear sky
252,Springbok,ZA,-29.6643,17.8865,45.03,91,77,3.87,broken clouds
253,Kloulklubed,PW,7.0419,134.2556,73.9,72,100,4.38,moderate rain
254,Novonukutskiy,RU,53.7002,102.7117,54.57,89,3,1.59,clear sky
255,Westerland,DE,54.9079,8.3033,64.42,77,1,6.91,clear sky
256,Tuatapere,NZ,-46.1333,167.6833,44.44,61,9,3.06,clear sky
257,Batemans Bay,AU,-35.7167,150.1833,52.11,71,90,4.9,overcast clouds
258,Sarasota,US,27.167,-82.3332,89.53,70,0,9.22,clear sky
259,Arman,RU,59.7,150.1667,61.02,85,98,2.98,overcast clouds
260,Yelizovo,RU,53.1873,158.3805,57.34,100,75,4.47,broken clouds
261,Pevek,RU,69.7008,170.3133,36.37,91,85,5.93,overcast clouds
262,Kununurra,AU,-15.7667,128.7333,71.58,37,4,10.36,clear sky
263,Punto Fijo,VE,11.6956,-70.1996,84.11,70,96,20.24,overcast clouds
264,Nizhniy Odes,RU,63.6445,54.856,56.03,68,85,6.33,overcast clouds
265,Talcahuano,CL,-36.7167,-73.1167,51.48,76,100,6.91,overcast clouds
266,Oxbow,CA,49.2333,-102.1676,65.64,81,100,11.79,overcast clouds
267,Flin Flon,CA,54.7682,-101.865,75.04,50,100,20.71,overcast clouds
268,Mnogovershinnyy,RU,53.9353,139.9242,54.46,97,100,1.39,overcast clouds
269,Mandalgovi,MN,45.7625,106.2708,57.76,74,100,13.38,overcast clouds
270,Perevolotskiy,RU,51.8763,54.1938,66.96,76,100,10.18,overcast clouds
271,Tarboro,US,35.8968,-77.5358,87.71,74,0,3.44,clear sky
272,Raudeberg,NO,61.9875,5.1352,56.07,93,100,9.95,overcast clouds
273,Cayenne,GF,4.9333,-52.3333,83.08,1,0,4.61,clear sky
274,Taoudenni,ML,22.6783,-3.9836,100.72,10,0,2.33,clear sky
275,Bakani,IN,24.2833,76.2333,75.81,95,100,8.63,heavy intensity rain
276,Ushtobe,KZ,45.2514,77.9838,72.18,40,94,5.93,overcast clouds
277,Monteagudo,BO,-19.8167,-63.9833,53.64,47,0,1.19,clear sky
278,Altay,CN,47.8667,88.1167,64.53,41,5,6.51,clear sky
279,Bartica,GY,6.4,-58.6167,82.72,96,39,2.84,scattered clouds
280,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.75,34,21,2.98,few clouds
281,Samarai,PG,-10.6167,150.6667,78.46,85,97,17.29,overcast clouds
282,Waseca,US,44.0777,-93.5074,78.24,73,100,9.22,overcast clouds
283,Doka,SD,13.5167,35.7667,69.35,97,100,8.14,overcast clouds
284,Barsovo,RU,61.1667,73.1667,59.13,72,74,8.48,broken clouds
285,Sitka,US,57.0531,-135.33,66.09,72,75,3.44,broken clouds
286,Esil,KZ,51.9556,66.4042,68.92,60,47,2.62,scattered clouds
287,Kaseda,JP,31.4167,130.3167,84.02,74,87,6.08,overcast clouds
288,Viedma,AR,-40.8135,-62.9967,54.01,44,9,9.37,clear sky
289,Bonthe,SL,7.5264,-12.505,76.12,88,87,8.84,light rain
290,Surt,LY,31.2089,16.5887,80.91,59,0,8.25,clear sky
291,Pacific Grove,US,36.6177,-121.9166,85.55,71,0,12.66,clear sky
292,Mogadishu,SO,2.0371,45.3438,75.2,81,31,18.45,scattered clouds
